key,translation,locale
navigation.menu.categories,Kategorien,de_DE
navigation.menu.categories,Categories,en_US
navigation.menu.have-a-look,Ein Blick lohnt sich,de_DE
navigation.menu.have-a-look,It is worth a look,en_US
page.checkout.errors,Bitte überprüfe deine Eingabe.,de_DE
page.checkout.errors,Please check your entry.,en_US
page.checkout.client.existing,Ich bin bereits Kunde,de_DE
page.checkout.client.existing,Existing Customer,en_US
page.checkout.client.new,Ich bin Neukunde,de_DE
page.checkout.client.new,New Customer,en_US
customer.password,Passwort,de_DE
customer.password,Password,en_US
password.confirm,Passwort bestätigen,de_DE
password.confirm,Confirm passwort,en_US
page.checkout.address.heading,1. Adressangaben,de_DE
page.checkout.address.heading,1. Address Data,en_US
page.checkout.address.name,Name,de_DE
page.checkout.address.name,Name,en_US
page.checkout.address.billing-address,Rechnungsadresse,de_DE
page.checkout.address.billing-address,Billing Address,en_US
page.checkout.address.billing-isnt-shipping-address,Abweichende Lieferadresse,de_DE
page.checkout.address.billing-isnt-shipping-address,Different Delivery Address,en_US
page.checkout.address.shipping-address,Lieferadresse,de_DE
page.checkout.address.shipping-address,Delivery Address,en_US
page.checkout.address.address-example,Beispiel:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth,de_DE
page.checkout.address.address-example,Example:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth,en_US
page.checkout.address.next-step,Weiter - Lieferart wählen,de_DE
page.checkout.address.next-step,Continue to Shippment Method,en_US
page.checkout.address.edit,Adresse bearbeiten,de_DE
page.checkout.address.edit,edit Address Data,en_US
page.checkout.address.use_selected_address,Use selected address,en_US
page.checkout.address.use_selected_address,Ausgewählte Addresse benutzen,de_DE
page.checkout.address.different_delivery_address,Use a different delivery address,en_US
page.checkout.address.different_delivery_address,Eine andere Addresse benutzen,de_DE
page.checkout.address.different_billing_address,Use a different billing address,en_US
page.checkout.address.different_billing_address, Eine andere Rechnungsadresse verwenden,de_DE
page.checkout.address.option_group.customer,Customer addresses,en_US
page.checkout.address.option_group.customer,Kundenaddresse,de_DE
page.checkout.address.option_group.company_business_unit,Business addresses,en_US
page.checkout.address.option_group.company_business_unit,Addresse der Geschäftseinheit,de_DE
page.checkout.address.delivery.address_select,Select a delivery address,en_US
page.checkout.address.delivery.address_select,Wählen Sie eine Lieferadresse,de_DE
page.checkout.address.billing.address_select,Select a billing address,en_US
page.checkout.address.billing.address_select,Wählen Sie eine Rechnungsadresse,de_DE
page.checkout.address.manage_your_addresses,"Manage your addresses",en_US
page.checkout.address.manage_your_addresses,"Verwalten Sie Ihre Adressen",de_DE
page.checkout.address.address_select.label,Select a delivery address,en_US
page.checkout.address.address_select.label,Wählen Sie eine Lieferadresse,de_DE
page.checkout.address.address_select.placeholder,Select an address,en_US
page.checkout.address.address_select.placeholder,Wählen Sie eine Adresse,de_DE
page.checkout.address.multi_shipment.title,Assign each product to its own delivery address,en_US
page.checkout.address.multi_shipment.title,Jedes Produkt seiner eigenen Lieferadresse zuweisen,de_DE
page.checkout.shipment.heading,2. Lieferart wählen,de_DE
page.checkout.shipment.heading,2. Shipping Method,en_US
shipment.standart.name,Standard,de_DE
shipment.standart.name,Standard,en_US
shipment.express.name,Express,de_DE
shipment.express.name,Express,en_US
shipment.standart.description,2-4 Werktage,de_DE
shipment.standart.description,2-4 working days,en_US
page.checkout.shipping.delivery_time,Lieferzeit:,de_DE
page.checkout.shipping.delivery_time,Delivery time:,en_US
page.checkout.shipping.day,day,en_US
page.checkout.shipping.day,Tag,de_DE
page.checkout.shipping.days,days,en_US
page.checkout.shipping.days,Tage,de_DE
page.checkout.shipping.price,Preis:,de_DE
page.checkout.shipping.price,Price:,en_US
shipment.express.description,innerhalb von 24-48 Stunden (Werktage),de_DE
shipment.express.description,24-48 hours (working days),en_US
page.checkout.shipment.edit,Lieferart bearbeiten,de_DE
page.checkout.shipment.edit,edit Shipment Method,en_US
page.checkout.shipment.next-step,Weiter - Zahlungsart wählen,de_DE
page.checkout.shipment.next-step,Continue to Payment Method,en_US
page.checkout.shipment.item.quantity,Amount,de_DE
page.checkout.shipment.item.quantity,Amount,en_US
page.checkout.shipment.item.price,Price,de_DE
page.checkout.shipment.item.price,Price,en_US
page.checkout.shipment.shipping_address.title,Delivery address,de_DE
